背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,team,Name,salary
44,林　晃汰,0.167,10.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.167,0.167,0.333,-0.02,0.16,c,林　晃汰,1200
10,佐々木　泰,0.182,3.0,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.182,0.273,0.455,1.2,1.17,c,佐々木　泰,1600
59,大盛　穂,0.222,28.0,10.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.3,0.333,0.633,3.7,3.51,c,大盛　穂,2000
40,磯村　嘉孝,0.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.76,-2.51,c,磯村　嘉孝,2100
0,上本　崇司,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.92,-2.7,c,上本　崇司,3700
2,田中　広輔,,,,,,,,,,,,,,,,,,,c,田中　広輔,3000
38,宇草　孔基,,,,,,,,,,,,,,,,,,,c,宇草　孔基,1300
49,渡邉　悠斗,,,,,,,,,,,,,,,,,,,c,渡邉　悠斗,800
50,中村　健人,,,,,,,,,,,,,,,,,,,c,中村　健人,1200
54,韮澤　雄也,,,,,,,,,,,,,,,,,,,c,韮澤　雄也,800
55,松山　竜平,,,,,,,,,,,,,,,,,,,c,松山　竜平,3500
56,久保　修,,,,,,,,,,,,,,,,,,,c,久保　修,700
57,持丸　泰輝,,,,,,,,,,,,,,,,,,,c,持丸　泰輝,550
58,仲田　侑仁,,,,,,,,,,,,,,,,,,,c,仲田　侑仁,500
62,清水　叶人,,,,,,,,,,,,,,,,,,,c,清水　叶人,500
63,内田　湘大,,,,,,,,,,,,,,,,,,,c,内田　湘大,600
64,髙木　翔斗,,,,,,,,,,,,,,,,,,,c,髙木　翔斗,500
94,佐藤　啓介,,,,,,,,,,,,,,,,,,,c,佐藤　啓介,700
97,中村　貴浩,,,,,,,,,,,,,,,,,,,c,中村　貴浩,800
5,近本　光司,0.292,45.0,209.0,192.0,56.0,3.0,12.0,10.0,16.0,1.0,23.0,0.0,0.0,0.349,0.38,0.729,5.27,5.1,t,近本　光司,37000
51,中野　拓夢,0.302,45.0,201.0,162.0,49.0,0.0,10.0,7.0,20.0,2.0,23.0,16.0,2.0,0.384,0.358,0.742,5.13,4.96,t,中野　拓夢,14500
1,森下　翔太,0.294,45.0,197.0,180.0,53.0,7.0,31.0,1.0,12.0,3.0,28.0,0.0,9.0,0.345,0.456,0.801,4.97,4.95,t,森下　翔太,7800
3,大山　悠輔,0.26,45.0,191.0,169.0,44.0,2.0,22.0,3.0,21.0,0.0,25.0,0.0,6.0,0.34,0.367,0.707,4.37,4.26,t,大山　悠輔,34000
8,佐藤　輝明,0.285,44.0,186.0,172.0,49.0,12.0,34.0,5.0,14.0,0.0,49.0,0.0,1.0,0.339,0.605,0.943,7.68,7.36,t,佐藤　輝明,15000
58,前川　右京,0.237,39.0,143.0,131.0,31.0,0.0,8.0,0.0,7.0,5.0,22.0,0.0,0.0,0.301,0.313,0.614,3.4,3.26,t,前川　右京,3200
12,坂本　誠志郎,0.202,35.0,108.0,89.0,18.0,0.0,6.0,0.0,14.0,1.0,22.0,4.0,2.0,0.317,0.225,0.542,2.49,2.56,t,坂本　誠志郎,10000
0,木浪　聖也,0.226,35.0,103.0,93.0,21.0,0.0,10.0,1.0,5.0,2.0,24.0,3.0,0.0,0.28,0.312,0.592,3.11,2.98,t,木浪　聖也,6500
38,小幡　竜平,0.222,25.0,84.0,72.0,16.0,0.0,5.0,3.0,5.0,0.0,17.0,5.0,2.0,0.266,0.25,0.516,2.1,2.29,t,小幡　竜平,2500
2,梅野　隆太郎,0.228,24.0,65.0,57.0,13.0,0.0,2.0,1.0,4.0,0.0,13.0,4.0,1.0,0.279,0.263,0.542,2.34,2.27,t,梅野　隆太郎,16000
33,糸原　健斗,0.227,24.0,24.0,22.0,5.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,1.0,0.292,0.227,0.519,2.05,2.13,t,糸原　健斗,7000
67,髙寺　望夢,0.1,11.0,24.0,20.0,2.0,1.0,1.0,1.0,1.0,0.0,7.0,3.0,0.0,0.143,0.25,0.393,0.83,1.16,t,髙寺　望夢,650
25,渡邉　諒,0.2,18.0,20.0,15.0,3.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,1.0,0.4,0.2,0.6,3.33,3.36,t,渡邉　諒,4000
53,島田　海吏,0.0,11.0,12.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,-1.73,t,島田　海吏,3200
68,中川　勇斗,0.1,7.0,12.0,10.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.25,0.1,0.35,0.69,1.05,t,中川　勇斗,540
55,楠本　泰史,0.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.1,0.0,0.1,-1.88,-1.5,t,楠本　泰史,1800
94,原口　文仁,0.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.167,0.0,0.167,-3.41,-3.7,t,原口　文仁,4000
61,豊田　寛,0.2,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.82,0.95,t,豊田　寛,830
4,熊谷　敬宥,0.25,14.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.5,5.36,5.22,t,熊谷　敬宥,1900
95,ヘルナンデス,0.5,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.17,10.94,t,ヘルナンデス,4700
95,ヘルナンデス,0.5,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.17,10.94,t,ヘルナンデス,12000
95,ヘルナンデス,0.5,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.17,10.94,t,ヘルナンデス,25000
39,榮枝　裕貴,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.81,-2.57,t,榮枝　裕貴,780
32,井上　広大,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.31,-0.99,t,井上　広大,1100
62,植田　海,0.0,14.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8,2.3,t,植田　海,2100
60,小野寺　暖,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,小野寺　暖,1500
40,井坪　陽生,,,,,,,,,,,,,,,,,,,t,井坪　陽生,600
43,町田　隼乙,,,,,,,,,,,,,,,,,,,t,町田　隼乙,750
44,戸井　零士,,,,,,,,,,,,,,,,,,,t,戸井　零士,500
45,佐野　大陽,,,,,,,,,,,,,,,,,,,t,佐野　大陽,700
52,山田　脩也,,,,,,,,,,,,,,,,,,,t,山田　脩也,600
56,百﨑　蒼生,,,,,,,,,,,,,,,,,,,t,百﨑　蒼生,500
57,長坂　拳弥,,,,,,,,,,,,,,,,,,,t,長坂　拳弥,1200
59,藤田　健斗,,,,,,,,,,,,,,,,,,,t,藤田　健斗,540
97,野口　恭佑,,,,,,,,,,,,,,,,,,,t,野口　恭佑,700
2,牧　秀悟,0.295,43.0,189.0,173.0,51.0,7.0,31.0,2.0,10.0,5.0,34.0,0.0,1.0,0.349,0.497,0.846,6.62,6.36,yb,牧　秀悟,25000
7,佐野　恵太,0.272,41.0,164.0,147.0,40.0,1.0,21.0,0.0,16.0,0.0,12.0,0.0,2.0,0.341,0.32,0.661,4.21,4.19,yb,佐野　恵太,17000
4,度会　隆輝,0.248,33.0,128.0,117.0,29.0,3.0,10.0,0.0,8.0,1.0,15.0,1.0,3.0,0.299,0.376,0.675,3.57,3.66,yb,度会　隆輝,2600
26,三森　大貴,0.225,36.0,121.0,111.0,25.0,0.0,6.0,8.0,9.0,0.0,21.0,0.0,1.0,0.281,0.297,0.578,3.04,3.04,yb,三森　大貴,4300
50,山本　祐大,0.24,31.0,109.0,100.0,24.0,0.0,19.0,0.0,4.0,1.0,13.0,1.0,4.0,0.269,0.31,0.579,2.37,2.57,yb,山本　祐大,5400
51,宮﨑　敏郎,0.283,27.0,102.0,92.0,26.0,1.0,10.0,0.0,8.0,1.0,14.0,0.0,5.0,0.343,0.37,0.713,4.02,3.96,yb,宮﨑　敏郎,20000
58,梶原　昂希,0.229,26.0,101.0,96.0,22.0,1.0,6.0,1.0,3.0,2.0,23.0,0.0,1.0,0.267,0.313,0.58,2.64,2.63,yb,梶原　昂希,2200
61,蝦名　達夫,0.25,31.0,89.0,80.0,20.0,0.0,6.0,1.0,6.0,1.0,16.0,0.0,3.0,0.303,0.338,0.641,3.13,3.26,yb,蝦名　達夫,2700
3,オースティン,0.25,21.0,87.0,76.0,19.0,2.0,12.0,0.0,11.0,0.0,9.0,0.0,5.0,0.345,0.408,0.753,4.21,4.05,yb,オースティン,51200
1,桑原　将志,0.267,15.0,68.0,60.0,16.0,0.0,3.0,4.0,4.0,1.0,8.0,3.0,2.0,0.323,0.317,0.64,3.71,3.55,yb,桑原　将志,12000
25,筒香　嘉智,0.115,19.0,58.0,52.0,6.0,1.0,2.0,0.0,6.0,0.0,17.0,0.0,2.0,0.207,0.192,0.399,0.39,0.66,yb,筒香　嘉智,30000
0,林　琢真,0.217,32.0,56.0,46.0,10.0,0.0,1.0,6.0,8.0,1.0,11.0,1.0,2.0,0.345,0.283,0.628,3.72,3.68,yb,林　琢真,1900
5,松尾　汐恩,0.375,24.0,54.0,48.0,18.0,3.0,9.0,0.0,2.0,1.0,3.0,0.0,1.0,0.389,0.625,1.014,8.9,9.15,yb,松尾　汐恩,1100
9,京田　陽太,0.196,26.0,53.0,51.0,10.0,0.0,2.0,0.0,1.0,1.0,14.0,0.0,1.0,0.226,0.235,0.462,1.2,1.25,yb,京田　陽太,6000
6,森　敬斗,0.175,13.0,43.0,40.0,7.0,0.0,4.0,0.0,2.0,0.0,11.0,0.0,0.0,0.209,0.225,0.434,1.21,1.61,yb,森　敬斗,2300
44,石上　泰輝,0.129,18.0,36.0,31.0,4.0,0.0,2.0,1.0,5.0,0.0,12.0,0.0,0.0,0.25,0.129,0.379,1.04,1.26,yb,石上　泰輝,950
10,戸柱　恭孝,0.286,14.0,23.0,21.0,6.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.304,0.333,0.638,3.95,4.3,yb,戸柱　恭孝,7500
95,九鬼　隆平,0.273,11.0,11.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.273,0.455,0.727,4.61,4.39,yb,九鬼　隆平,650
28,勝又　温史,0.333,7.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.333,0.667,4.51,4.28,yb,勝又　温史,620
31,柴田　竜拓,0.0,16.0,7.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.167,0.0,0.167,0.09,0.41,yb,柴田　竜拓,4700
8,神里　和毅,0.0,23.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.25,0.0,0.25,1.63,2.07,yb,神里　和毅,3000
63,関根　大気,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yb,関根　大気,5350
29,伊藤　光,,,,,,,,,,,,,,,,,,,yb,伊藤　光,5200
32,益子　京右,,,,,,,,,,,,,,,,,,,yb,益子　京右,560
33,武田　陸玖,,,,,,,,,,,,,,,,,,,yb,武田　陸玖,560
37,加藤　響,,,,,,,,,,,,,,,,,,,yb,加藤　響,750
55,井上　絢登,,,,,,,,,,,,,,,,,,,yb,井上　絢登,900
56,田内　真翔,,,,,,,,,,,,,,,,,,,yb,田内　真翔,500
57,東妻　純平,,,,,,,,,,,,,,,,,,,yb,東妻　純平,600
60,知野　直人,,,,,,,,,,,,,,,,,,,yb,知野　直人,1200
2,吉川　尚輝,0.294,47.0,206.0,187.0,55.0,2.0,21.0,2.0,15.0,2.0,25.0,0.0,3.0,0.35,0.39,0.74,5.2,5.11,g,吉川　尚輝,20000
13,キャベッジ,0.279,38.0,164.0,147.0,41.0,6.0,17.0,3.0,13.0,3.0,48.0,1.0,2.0,0.35,0.463,0.812,5.55,5.43,g,キャベッジ,20000
10,甲斐　拓也,0.289,41.0,162.0,142.0,41.0,3.0,11.0,2.0,18.0,0.0,35.0,0.0,5.0,0.364,0.373,0.737,4.79,4.8,g,甲斐　拓也,21000
35,泉口　友汰,0.271,37.0,162.0,144.0,39.0,2.0,10.0,0.0,13.0,1.0,17.0,4.0,2.0,0.335,0.34,0.676,3.68,3.66,g,泉口　友汰,2200
59,若林　楽人,0.277,41.0,141.0,130.0,36.0,3.0,12.0,6.0,7.0,1.0,25.0,2.0,0.0,0.317,0.4,0.717,5.09,5.02,g,若林　楽人,1800
42,ヘルナンデス,0.216,38.0,138.0,125.0,27.0,2.0,8.0,0.0,12.0,1.0,27.0,0.0,4.0,0.29,0.32,0.61,2.61,2.62,g,ヘルナンデス,4700
42,ヘルナンデス,0.216,38.0,138.0,125.0,27.0,2.0,8.0,0.0,12.0,1.0,27.0,0.0,4.0,0.29,0.32,0.61,2.61,2.62,g,ヘルナンデス,12000
42,ヘルナンデス,0.216,38.0,138.0,125.0,27.0,2.0,8.0,0.0,12.0,1.0,27.0,0.0,4.0,0.29,0.32,0.61,2.61,2.62,g,ヘルナンデス,25000
25,岡本　和真,0.308,32.0,134.0,117.0,36.0,8.0,25.0,1.0,12.0,3.0,16.0,0.0,1.0,0.381,0.598,0.979,8.26,8.12,g,岡本　和真,54000
61,増田　陸,0.304,25.0,84.0,79.0,24.0,2.0,5.0,0.0,5.0,0.0,18.0,0.0,0.0,0.345,0.43,0.776,5.54,5.28,g,増田　陸,1300
5,門脇　誠,0.21,27.0,71.0,62.0,13.0,0.0,3.0,3.0,3.0,1.0,15.0,5.0,2.0,0.258,0.274,0.532,1.88,1.89,g,門脇　誠,4500
40,中山　礼都,0.25,29.0,69.0,64.0,16.0,0.0,2.0,0.0,3.0,2.0,13.0,0.0,1.0,0.304,0.297,0.601,2.64,2.61,g,中山　礼都,2260
24,大城　卓三,0.149,23.0,49.0,47.0,7.0,2.0,5.0,0.0,2.0,0.0,20.0,0.0,2.0,0.184,0.298,0.482,0.88,1.09,g,大城　卓三,16000
6,坂本　勇人,0.133,15.0,48.0,45.0,6.0,0.0,3.0,0.0,1.0,0.0,11.0,0.0,3.0,0.146,0.178,0.324,-0.61,-0.12,g,坂本　勇人,50000
6,坂本　勇人,0.133,15.0,48.0,45.0,6.0,0.0,3.0,0.0,1.0,0.0,11.0,0.0,3.0,0.146,0.178,0.324,-0.61,-0.12,g,坂本　勇人,380
51,浅野　翔吾,0.19,14.0,46.0,42.0,8.0,2.0,4.0,0.0,2.0,1.0,12.0,0.0,0.0,0.239,0.405,0.644,3.34,3.61,g,浅野　翔吾,1800
27,岸田　行倫,0.214,15.0,31.0,28.0,6.0,1.0,4.0,0.0,1.0,0.0,4.0,2.0,0.0,0.241,0.321,0.563,2.49,2.64,g,岸田　行倫,4300
44,佐々木　俊輔,0.091,11.0,25.0,22.0,2.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.167,0.091,0.258,-0.47,-0.18,g,佐々木　俊輔,1840
12,萩尾　匡也,0.174,9.0,25.0,23.0,4.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.208,0.174,0.382,0.93,0.97,g,萩尾　匡也,1900
52,リチャード,0.15,7.0,22.0,20.0,3.0,2.0,4.0,0.0,2.0,0.0,8.0,0.0,0.0,0.227,0.45,0.677,3.46,3.92,g,リチャード,1000
7,長野　久義,0.105,13.0,20.0,19.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.15,0.105,0.255,-0.67,-0.4,g,長野　久義,5000
69,笹原　操希,0.105,9.0,20.0,19.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.15,0.105,0.255,-0.67,-0.4,g,笹原　操希,420
50,オコエ　瑠偉,0.133,11.0,15.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.133,0.133,0.267,-0.65,-0.44,g,オコエ　瑠偉,2400
60,荒巻　悠,0.182,6.0,13.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.308,0.182,0.49,2.24,2.49,g,荒巻　悠,1000
32,浦田　俊輔,0.091,8.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.091,0.091,0.182,-2.07,-1.91,g,浦田　俊輔,1200
38,岡田　悠希,0.143,5.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.25,0.143,0.393,0.91,1.22,g,岡田　悠希,850
55,秋広　優人,0.143,5.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.143,0.393,1.07,1.35,g,秋広　優人,2450
0,増田　大輝,0.167,16.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.167,0.167,0.333,-0.84,-0.5,g,増田　大輝,2450
43,重信　慎之介,0.5,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.04,10.8,g,重信　慎之介,3000
37,郡　拓也,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-2.43,g,郡　拓也,880
0,湯浅　大,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-2.43,g,湯浅　大,1500
8,丸　佳浩,,,,,,,,,,,,,,,,,,,g,丸　佳浩,32000
22,小林　誠司,,,,,,,,,,,,,,,,,,,g,小林　誠司,4000
23,石塚　裕惺,,,,,,,,,,,,,,,,,,,g,石塚　裕惺,1200
67,山瀬　慎之助,,,,,,,,,,,,,,,,,,,g,山瀬　慎之助,680
94,喜多　隆介,,,,,,,,,,,,,,,,,,,g,喜多　隆介,640
1,岡林　勇希,0.277,44.0,196.0,177.0,49.0,0.0,4.0,7.0,17.0,0.0,15.0,1.0,0.0,0.338,0.373,0.711,5.15,4.93,d,岡林　勇希,7000
51,上林　誠知,0.27,43.0,153.0,141.0,38.0,5.0,20.0,8.0,6.0,1.0,34.0,4.0,0.0,0.302,0.433,0.735,4.71,4.68,d,上林　誠知,1750
4,カリステ,0.224,38.0,127.0,116.0,26.0,0.0,10.0,1.0,7.0,0.0,26.0,1.0,3.0,0.262,0.293,0.555,2.21,2.43,d,カリステ,9000
55,細川　成也,0.191,30.0,110.0,89.0,17.0,2.0,7.0,0.0,19.0,1.0,27.0,0.0,3.0,0.336,0.315,0.651,3.46,3.66,d,細川　成也,9200
24,ボスラー,0.2,29.0,106.0,100.0,20.0,2.0,11.0,0.0,5.0,1.0,26.0,0.0,2.0,0.245,0.32,0.565,2.29,2.33,d,ボスラー,10000
35,木下　拓哉,0.232,33.0,104.0,95.0,22.0,2.0,8.0,0.0,8.0,0.0,19.0,1.0,2.0,0.291,0.305,0.597,2.89,2.92,d,木下　拓哉,7000
60,山本　泰寛,0.216,35.0,96.0,88.0,19.0,2.0,5.0,0.0,1.0,0.0,18.0,7.0,1.0,0.225,0.33,0.554,2.14,2.16,d,山本　泰寛,2000
63,板山　祐太郎,0.203,29.0,80.0,74.0,15.0,2.0,5.0,0.0,5.0,0.0,23.0,1.0,2.0,0.253,0.324,0.577,2.32,2.38,d,板山　祐太郎,1400
5,村松　開人,0.138,20.0,75.0,65.0,9.0,0.0,2.0,2.0,4.0,2.0,14.0,4.0,0.0,0.211,0.169,0.38,0.9,1.06,d,村松　開人,3300
3,高橋　周平,0.25,27.0,65.0,60.0,15.0,0.0,5.0,0.0,5.0,0.0,11.0,0.0,1.0,0.308,0.3,0.608,3.23,3.09,d,高橋　周平,6000
6,中田　翔,0.169,22.0,65.0,59.0,10.0,2.0,4.0,0.0,6.0,0.0,11.0,0.0,1.0,0.246,0.322,0.568,2.38,2.49,d,中田　翔,30000
25,石川　昂弥,0.16,13.0,52.0,50.0,8.0,0.0,3.0,0.0,1.0,1.0,18.0,0.0,1.0,0.192,0.2,0.392,0.18,0.31,d,石川　昂弥,3000
2,田中　幹也,0.318,13.0,51.0,44.0,14.0,1.0,3.0,2.0,2.0,0.0,4.0,5.0,0.0,0.348,0.432,0.78,5.61,5.32,d,田中　幹也,1850
42,ブライト　健太,0.188,25.0,39.0,32.0,6.0,1.0,4.0,0.0,6.0,1.0,12.0,0.0,0.0,0.333,0.406,0.74,4.45,4.54,d,ブライト　健太,1350
45,土田　龍空,0.143,12.0,37.0,35.0,5.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,2.0,0.189,0.2,0.389,0.01,0.09,d,土田　龍空,1520
66,鵜飼　航丞,0.179,12.0,28.0,28.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.179,0.179,0.357,0.08,0.2,d,鵜飼　航丞,1130
39,宇佐見　真吾,0.2,9.0,22.0,20.0,4.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.273,0.2,0.473,1.84,2.01,d,宇佐見　真吾,4000
8,大島　洋平,0.118,15.0,18.0,17.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.167,0.118,0.284,-0.31,-0.05,d,大島　洋平,10000
9,石伊　雄太,0.188,7.0,17.0,16.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.188,0.188,0.375,0.48,0.6,d,石伊　雄太,1000
49,加藤　匠馬,0.182,19.0,14.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.25,0.182,0.432,1.3,1.42,d,加藤　匠馬,2200
97,樋口　正修,0.0,15.0,13.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,1.0,0.0,0.083,0.0,0.083,-1.88,-1.45,d,樋口　正修,531
0,辻本　倫太郎,0.091,8.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.091,0.091,0.182,-1.85,-1.71,d,辻本　倫太郎,850
53,駿太,0.125,9.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.125,0.125,0.25,-0.53,-0.37,d,駿太,1900
95,ロドリゲス,0.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.2,-3.15,d,ロドリゲス,1500
95,ロドリゲス,0.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.2,-3.15,d,ロドリゲス,1000
37,濱　将乃介,0.5,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,12.3,11.07,d,濱　将乃介,650
0,尾田　剛樹,,,,,,,,,,,,,,,,,,,d,尾田　剛樹,830
7,福永　裕基,,,,,,,,,,,,,,,,,,,d,福永　裕基,3500
27,津田　啓史,,,,,,,,,,,,,,,,,,,d,津田　啓史,1000
31,森　駿太,,,,,,,,,,,,,,,,,,,d,森　駿太,600
43,味谷　大誠,,,,,,,,,,,,,,,,,,,d,味谷　大誠,610
44,川越　誠司,,,,,,,,,,,,,,,,,,,d,川越　誠司,1500
57,山浅　龍之介,,,,,,,,,,,,,,,,,,,d,山浅　龍之介,610
58,石橋　康太,,,,,,,,,,,,,,,,,,,d,石橋　康太,1150
13,オスナ,0.255,40.0,165.0,153.0,39.0,2.0,17.0,0.0,11.0,0.0,17.0,0.0,5.0,0.303,0.34,0.643,3.33,3.29,s,オスナ,46500
13,オスナ,0.255,40.0,165.0,153.0,39.0,2.0,17.0,0.0,11.0,0.0,17.0,0.0,5.0,0.303,0.34,0.643,3.33,3.29,s,オスナ,100000
25,サンタナ,0.286,39.0,163.0,140.0,40.0,3.0,11.0,1.0,21.0,2.0,40.0,0.0,3.0,0.387,0.407,0.794,6.0,5.81,s,サンタナ,38750
8,茂木　栄五郎,0.258,36.0,138.0,120.0,31.0,5.0,16.0,0.0,15.0,2.0,40.0,1.0,2.0,0.35,0.4,0.75,4.9,4.93,s,茂木　栄五郎,7000
1,山田　哲人,0.214,36.0,131.0,117.0,25.0,3.0,11.0,0.0,13.0,0.0,20.0,0.0,3.0,0.29,0.325,0.615,3.04,3.17,s,山田　哲人,50000
0,赤羽　由紘,0.214,34.0,119.0,112.0,24.0,0.0,7.0,2.0,3.0,0.0,25.0,3.0,1.0,0.233,0.268,0.501,1.76,1.83,s,赤羽　由紘,900
3,西川　遥輝,0.188,28.0,96.0,85.0,16.0,0.0,6.0,1.0,11.0,0.0,23.0,0.0,1.0,0.281,0.224,0.505,2.14,2.24,s,西川　遥輝,3300
64,岩田　幸宏,0.253,32.0,87.0,79.0,20.0,0.0,1.0,3.0,5.0,2.0,9.0,1.0,0.0,0.314,0.316,0.63,3.83,3.79,s,岩田　幸宏,1000
7,長岡　秀樹,0.194,19.0,78.0,72.0,14.0,0.0,2.0,0.0,2.0,1.0,6.0,2.0,3.0,0.224,0.222,0.446,0.88,1.03,s,長岡　秀樹,9200
27,中村　悠平,0.15,28.0,74.0,60.0,9.0,0.0,4.0,0.0,8.0,2.0,8.0,4.0,3.0,0.271,0.167,0.438,1.0,1.17,s,中村　悠平,15000
2,古賀　優大,0.276,23.0,63.0,58.0,16.0,1.0,4.0,0.0,2.0,1.0,7.0,2.0,4.0,0.311,0.379,0.691,3.16,3.03,s,古賀　優大,1350
33,内山　壮真,0.25,17.0,55.0,48.0,12.0,2.0,6.0,2.0,5.0,0.0,10.0,0.0,0.0,0.309,0.417,0.726,5.11,5.54,s,内山　壮真,2200
60,武岡　龍世,0.154,20.0,43.0,39.0,6.0,0.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,0.195,0.231,0.426,1.05,1.08,s,武岡　龍世,1600
38,北村　拓己,0.343,13.0,43.0,35.0,12.0,1.0,2.0,0.0,2.0,3.0,7.0,3.0,1.0,0.425,0.457,0.882,6.18,5.94,s,北村　拓己,1700
63,増田　珠,0.235,23.0,36.0,34.0,8.0,0.0,4.0,0.0,1.0,0.0,7.0,1.0,0.0,0.257,0.412,0.669,3.69,3.5,s,増田　珠,900
10,宮本　丈,0.296,26.0,35.0,27.0,8.0,0.0,3.0,0.0,8.0,0.0,6.0,0.0,1.0,0.457,0.333,0.79,6.65,6.49,s,宮本　丈,2300
4,丸山　和郁,0.105,11.0,19.0,19.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.105,0.105,0.211,-1.17,-0.94,s,丸山　和郁,2600
51,濱田　太貴,0.059,10.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.059,0.059,0.118,-1.89,-1.62,s,濱田　太貴,1600
