背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,team,Name,salary
6,宗　佑磨,0.2,20.0,70.0,65.0,13.0,0.0,0.0,1.0,5.0,0.0,11.0,0.0,2.0,0.257,0.246,0.503,1.33,1.44,bs,宗　佑磨,7300
8,麦谷　祐介,0.238,35.0,69.0,63.0,15.0,0.0,4.0,7.0,6.0,0.0,15.0,0.0,0.0,0.304,0.27,0.574,3.59,3.63,bs,麦谷　祐介,1500
54,ディアス,0.259,20.0,60.0,54.0,14.0,0.0,2.0,0.0,6.0,0.0,12.0,0.0,3.0,0.333,0.296,0.63,3.01,2.93,bs,ディアス,1320
54,ディアス,0.259,20.0,60.0,54.0,14.0,0.0,2.0,0.0,6.0,0.0,12.0,0.0,3.0,0.333,0.296,0.63,3.01,2.93,bs,ディアス,8000
50,山中　稜真,0.15,13.0,43.0,40.0,6.0,1.0,3.0,0.0,3.0,0.0,7.0,0.0,1.0,0.209,0.3,0.509,1.53,1.72,bs,山中　稜真,800
4,森　友哉,0.222,11.0,41.0,36.0,8.0,0.0,5.0,0.0,4.0,0.0,8.0,0.0,0.0,0.293,0.278,0.57,3.06,3.34,bs,森　友哉,40000
65,福田　周平,0.188,14.0,40.0,32.0,6.0,0.0,2.0,1.0,4.0,0.0,6.0,4.0,0.0,0.278,0.188,0.465,1.95,2.08,bs,福田　周平,5000
9,野口　智哉,0.2,19.0,35.0,30.0,6.0,0.0,2.0,0.0,5.0,0.0,8.0,0.0,0.0,0.314,0.4,0.714,4.03,3.87,bs,野口　智哉,2000
32,福永　奨,0.172,16.0,33.0,29.0,5.0,0.0,3.0,0.0,3.0,0.0,11.0,1.0,1.0,0.25,0.276,0.526,1.7,1.77,bs,福永　奨,1000
5,西野　真弘,0.179,10.0,31.0,28.0,5.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,0.233,0.357,0.59,2.74,2.94,bs,西野　真弘,5000
38,来田　涼斗,0.227,8.0,24.0,22.0,5.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,0.261,0.227,0.488,2.15,2.21,bs,来田　涼斗,1600
10,大城　滉二,0.211,23.0,21.0,19.0,4.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,0.0,0.25,0.211,0.461,1.85,1.94,bs,大城　滉二,4000
36,オリバレス,0.222,6.0,18.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.222,0.222,0.444,1.26,1.35,bs,オリバレス,15000
64,大里　昂生,0.5,2.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.75,0.5,1.25,30.56,29.43,bs,大里　昂生,1600
